   87.6504350351552      -5.830898721671839E-003 -5.830898721671838E-003
   88.2787535658732      -5.789478493336142E-003 -5.789478493336141E-003
   88.9070720965912      -5.748642024287129E-003 -5.748642024287131E-003
   89.5353906273091      -5.708377071338365E-003 -5.708377071338365E-003
   90.1637091580271      -5.668671730987750E-003 -5.668671730987750E-003
   90.7920276887450      -5.629514427728298E-003 -5.629514427728295E-003
   91.4203462194630      -5.590893902838149E-003 -5.590893902838150E-003
   92.0486647501809      -5.552799203626596E-003 -5.552799203626597E-003
   92.6769832808989      -5.515219673114947E-003 -5.515219673114951E-003
   93.3053018116169      -5.478144940132015E-003 -5.478144940132016E-003
   93.9336203423348      -5.441564909804165E-003 -5.441564909804166E-003
   94.5619388730528      -5.405469754423014E-003 -5.405469754423012E-003
   95.1902574037707      -5.369849904672002E-003 -5.369849904672000E-003
   95.8185759344887      -5.334696041196582E-003 -5.334696041196583E-003
   96.4468944652067      -5.299999086501927E-003 -5.299999086501927E-003
   97.0752129959246      -5.265750197163349E-003 -5.265750197163350E-003
   97.7035315266426      -5.231940756336046E-003 -5.231940756336046E-003
   98.3318500573605      -5.198562366549857E-003 -5.198562366549856E-003
   98.9601685880785      -5.165606842777532E-003 -5.165606842777532E-003
   99.5884871187964      -5.133066205763747E-003 -5.133066205763745E-003
   100.216805649514      -5.100932675603715E-003 -5.100932675603715E-003
   100.845124180232      -5.069198665560807E-003 -5.069198665560810E-003
   101.473442710950      -5.037856776112443E-003 -5.037856776112443E-003
   102.101761241668      -5.006899789214733E-003 -5.006899789214734E-003
   102.730079772386      -4.976320662776835E-003 -4.976320662776835E-003
   103.358398303104      -4.946112525335371E-003 -4.946112525335371E-003
   103.986716833822      -4.916268670921459E-003 -4.916268670921460E-003
   104.615035364540      -4.886782554111333E-003 -4.886782554111333E-003
   105.243353895258      -4.857647785253946E-003 -4.857647785253944E-003
   105.871672425976      -4.828858125867114E-003 -4.828858125867113E-003
   106.499990956694      -4.800407484196436E-003 -4.800407484196436E-003
   107.128309487412      -4.772289910929314E-003 -4.772289910929313E-003
   107.756628018130      -4.744499595058545E-003 -4.744499595058546E-003
   108.384946548848      -4.717030859888879E-003 -4.717030859888881E-003
   109.013265079566      -4.689878159181458E-003 -4.689878159181457E-003
   109.641583610284      -4.663036073429685E-003 -4.663036073429685E-003
   110.269902141002      -4.636499306262359E-003 -4.636499306262358E-003
   110.898220671720      -4.610262680968297E-003 -4.610262680968295E-003
   111.526539202438      -4.584321137137880E-003 -4.584321137137879E-003
   112.154857733156      -4.558669727417339E-003 -4.558669727417339E-003
   112.783176263874      -4.533303614370649E-003 -4.533303614370648E-003
   113.411494794592      -4.508218067445618E-003 -4.508218067445616E-003
   114.039813325309      -4.483408460039719E-003 -4.483408460039720E-003
   114.668131856027      -4.458870266662049E-003 -4.458870266662052E-003
   115.296450386745      -4.434599060187755E-003 -4.434599060187755E-003
   115.924768917463      -4.410590509201167E-003 -4.410590509201167E-003
   116.553087448181      -4.386840375424955E-003 -4.386840375424954E-003
   117.181405978899      -4.363344511231176E-003 -4.363344511231174E-003
   117.809724509617      -4.340098857232029E-003 -4.340098857232028E-003
   118.438043040335      -4.317099439946981E-003 -4.317099439946981E-003
   119.066361571053      -4.294342369543085E-003 -4.294342369543086E-003
   119.694680101771      -4.271823837646892E-003 -4.271823837646891E-003
   120.322998632489      -4.249540115223883E-003 -4.249540115223882E-003
   120.951317163207      -4.227487550524506E-003 -4.227487550524506E-003
   121.579635693925      -4.205662567093035E-003 -4.205662567093033E-003
   122.207954224643      -4.184061661838102E-003 -4.184061661838102E-003
   122.836272755361      -4.162681403161946E-003 -4.162681403161947E-003
   123.464591286079      -4.141518429146737E-003 -4.141518429146738E-003
   124.092909816797      -4.120569445795742E-003 -4.120569445795740E-003
   124.721228347515      -4.099831225327527E-003 -4.099831225327525E-003
   125.349546878233      -4.079300604521195E-003 -4.079300604521194E-003
   125.977865408951      -4.058974483111035E-003 -4.058974483111035E-003
   126.606183939669      -4.038849822228884E-003 -4.038849822228883E-003
   127.234502470387      -4.018923642892309E-003 -4.018923642892309E-003
   127.862821001105      -3.999193024537435E-003 -3.999193024537436E-003
   128.491139531823      -3.979655103594507E-003 -3.979655103594507E-003
   129.119458062541      -3.960307072104992E-003 -3.960307072104991E-003
   129.747776593258      -3.941146176378687E-003 -3.941146176378688E-003
   130.376095123976      -3.922169715689607E-003 -3.922169715689608E-003
   131.004413654694      -3.903375041009265E-003 -3.903375041009266E-003
   131.632732185412      -3.884759553775988E-003 -3.884759553775988E-003
   132.261050716130      -3.866320704699425E-003 -3.866320704699424E-003
   132.889369246848      -3.848055992598724E-003 -3.848055992598724E-003
   133.517687777566      -3.829962963273434E-003 -3.829962963273434E-003
   134.146006308284      -3.812039208406023E-003 -3.812039208406023E-003
   134.774324839002      -3.794282364495107E-003 -3.794282364495106E-003
   135.402643369720      -3.776690111818225E-003 -3.776690111818225E-003
   136.030961900438      -3.759260173423202E-003 -3.759260173423202E-003
   136.659280431156      -3.741990314147384E-003 -3.741990314147384E-003
   137.287598961874      -3.724878339663697E-003 -3.724878339663697E-003
   137.915917492592      -3.707922095552665E-003 -3.707922095552666E-003
   138.544236023310      -3.691119466399593E-003 -3.691119466399592E-003
   139.172554554028      -3.674468374916246E-003 -3.674468374916245E-003
   139.800873084746      -3.657966781086024E-003 -3.657966781086025E-003
   140.429191615464      -3.641612681332137E-003 -3.641612681332138E-003
   141.057510146182      -3.625404107707827E-003 -3.625404107707826E-003
   141.685828676900      -3.609339127108235E-003 -3.609339127108233E-003
   142.314147207618      -3.593415840502861E-003 -3.593415840502863E-003
   142.942465738336      -3.577632382188507E-003 -3.577632382188508E-003
   143.570784269054      -3.561986919061565E-003 -3.561986919061564E-003
   144.199102799772      -3.546477649909311E-003 -3.546477649909311E-003
   144.827421330489      -3.531102804719710E-003 -3.531102804719711E-003
   145.455739861207      -3.515860644008930E-003 -3.515860644008929E-003
   146.084058391925      -3.500749458166292E-003 -3.500749458166292E-003
   146.712376922643      -3.485767566815915E-003 -3.485767566815915E-003
   147.340695453361      -3.470913318194678E-003 -3.470913318194678E-003
   147.969013984079      -3.456185088545981E-003 -3.456185088545980E-003
   148.597332514797      -3.441581281528976E-003 -3.441581281528977E-003
   149.225651045515      -3.427100327642410E-003 -3.427100327642411E-003
   149.853969576233      -3.412740683663248E-003 -3.412740683663247E-003
   150.482288106951      -3.398500832099107E-003 -3.398500832099106E-003
   151.110606637669      -3.384379280654406E-003 -3.384379280654405E-003
   151.738925168387      -3.370374561709694E-003 -3.370374561709694E-003
   152.367243699105      -3.356485231813905E-003 -3.356485231813905E-003
   152.995562229823      -3.342709871189064E-003 -3.342709871189063E-003
   153.623880760541      -3.329047083247100E-003 -3.329047083247100E-003
   154.252199291259      -3.315495494118425E-003 -3.315495494118425E-003
   154.880517821977      -3.302053752192066E-003 -3.302053752192066E-003
   155.508836352695      -3.288720527666769E-003 -3.288720527666769E-003
   156.137154883413      -3.275494512113033E-003 -3.275494512113032E-003
   156.765473414131      -3.262374418045637E-003 -3.262374418045637E-003
   157.393791944849      -3.249358978506312E-003 -3.249358978506312E-003
   158.022110475567      -3.236446946656435E-003 -3.236446946656436E-003
   158.650429006285      -3.223637095379366E-003 -3.223637095379365E-003
   159.278747537003      -3.210928216892086E-003 -3.210928216892086E-003
   159.907066067720      -3.198319122366102E-003 -3.198319122366102E-003
   160.535384598438      -3.185808641557150E-003 -3.185808641557150E-003
   161.163703129156      -3.173395622443632E-003 -3.173395622443633E-003
   161.792021659874      -3.161078930873213E-003 -3.161078930873213E-003
   162.420340190592      -3.148857450218060E-003 -3.148857450218059E-003
   163.048658721310      -3.136730081037516E-003 -3.136730081037516E-003
   163.676977252028      -3.124695740748958E-003 -3.124695740748957E-003
   164.305295782746      -3.112753363305852E-003 -3.112753363305853E-003
   164.933614313464      -3.100901898883458E-003 -3.100901898883459E-003
   165.561932844182      -3.089140313571449E-003 -3.089140313571449E-003
   166.190251374900      -3.077467589073569E-003 -3.077467589073568E-003
   166.818569905618      -3.065882722414094E-003 -3.065882722414093E-003
   167.446888436336      -3.054384725650827E-003 -3.054384725650828E-003
   168.075206967054      -3.042972625594613E-003 -3.042972625594613E-003
   168.703525497772      -3.031645463535003E-003 -3.031645463535002E-003
   169.331844028490      -3.020402294972063E-003 -3.020402294972063E-003
   169.960162559208      -3.009242189354149E-003 -3.009242189354148E-003
   170.588481089926      -2.998164229821395E-003 -2.998164229821393E-003
   171.216799620644      -2.987167512954910E-003 -2.987167512954909E-003
   171.845118151362      -2.976251148531449E-003 -2.976251148531448E-003
   172.473436682080      -2.965414259283399E-003 -2.965414259283399E-003
   173.101755212798      -2.954655980663976E-003 -2.954655980663975E-003
   173.730073743516      -2.943975460617650E-003 -2.943975460617649E-003
   174.358392274234      -2.933371859355293E-003 -2.933371859355294E-003
   174.986710804951      -2.922844349134409E-003 -2.922844349134409E-003
   175.615029335669      -2.912392114043811E-003 -2.912392114043810E-003
   176.243347866387      -2.902014349793137E-003 -2.902014349793137E-003
   176.871666397105      -2.891710263506726E-003 -2.891710263506725E-003
   177.499984927823      -2.881479073521860E-003 -2.881479073521859E-003
   178.128303458541      -2.871320009191307E-003 -2.871320009191307E-003
   178.756621989259      -2.861232310689980E-003 -2.861232310689981E-003
   179.384940519977      -2.851215228825722E-003 -2.851215228825721E-003
   180.013259050695      -2.841268024853987E-003 -2.841268024853987E-003
   180.641577581413      -2.831389970296337E-003 -2.831389970296337E-003
   181.269896112131      -2.821580346762852E-003 -2.821580346762853E-003
   181.898214642849      -2.811838445778120E-003 -2.811838445778120E-003
   182.526533173567      -2.802163568610741E-003 -2.802163568610741E-003
   183.154851704285      -2.792555026106554E-003 -2.792555026106553E-003
   183.783170235003      -2.783012138525013E-003 -2.783012138525012E-003
   184.411488765721      -2.773534235379139E-003 -2.773534235379140E-003
   185.039807296439      -2.764120655278548E-003 -2.764120655278549E-003
   185.668125827157      -2.754770745775812E-003 -2.754770745775812E-003
   186.296444357875      -2.745483863215766E-003 -2.745483863215766E-003
   186.924762888593      -2.736259372587986E-003 -2.736259372587986E-003
   187.553081419311      -2.727096647382180E-003 -2.727096647382179E-003
   188.181399950029      -2.717995069446423E-003 -2.717995069446421E-003
   188.809718480747      -2.708954028848301E-003 -2.708954028848301E-003
